	CL2001032010AA	Call	p-value	CL2001032041AA	Call	p-value
1514_g_at	28.56	A	0.81	34.23	A	0.75
1515_at	189.9	P	0.04	103.43	A	0.12
1516_g_at	315.06	A	0.23	441.77	A	0.07
1517_at	178.6	A	0.64	626.19	A	0.34
1518_at	344.4	A	0.27	119.5	A	0.58
1519_at	1502.61	P	0	1040.34	P	0
152_f_at	135.6	A	0.7	205.53	A	0.6
1520_s_at	626.58	A	0.32	611.09	A	0.34
1521_at	408.38	M	0.04	296.21	P	0.01
1522_at	50.24	A	0.98	47.83	A	0.9
1523_g_at	688.67	A	0.11	911.23	P	0.04
1524_at	284.73	P	0.01	290.86	P	0.01
1525_s_at	55.9	A	0.6	22.53	A	0.97
1526_i_at	18.43	A	0.83	29.37	A	0.83
1527_s_at	348.56	P	0	420.19	P	0
1528_at	29.49	A	0.9	31.32	A	0.9
1529_at	408.4	P	0	728.69	P	0
153_f_at	104.5	A	0.52	81.44	A	0.44
1530_g_at	172.42	P	0	175.18	P	0
1531_at	117.35	A	0.4	168.7	A	0.1
1532_g_at	659.09	P	0	712.05	P	0
1533_at	30.95	A	0.78	91.45	A	0.56
1534_at	37.93	A	0.58	4.08	A	0.73
1535_at	548	A	0.22	664.26	A	0.2
1536_at	20.92	A	0.87	14.84	A	0.98
1537_at	192.47	A	0.54	214.14	A	0.38
1538_s_at	7.62	A	0.99	9.88	A	0.98
1539_at	15.51	A	0.8	8.17	A	0.75
154_at	14.23	A	0.78	57.33	A	0.58
1540_f_at	98.05	A	0.58	107.47	A	0.4
1541_f_at	62.35	A	0.7	177.08	A	0.56
1542_at	420.61	A	0.27	359.01	A	0.14
1543_at	33.24	A	0.75	6.65	A	0.96
1544_at	242.9	A	0.07	140.31	A	0.08
1545_g_at	97.66	A	0.07	147.13	P	0.01
1546_at	423.51	P	0	488.61	P	0
1547_at	330.48	A	0.48	116.19	A	0.66
1548_s_at	39.68	A	0.73	140.19	A	0.28
1549_s_at	43.2	A	0.77	54.5	A	0.78
155_s_at	584.92	P	0	532.27	P	0
1550_at	387.15	A	0.25	474.65	A	0.38
1551_g_at	1407.11	A	0.16	1175.49	A	0.08
1552_i_at	313.38	A	0.2	434.96	A	0.25
1553_r_at	410.18	A	0.09	103.61	A	0.08
1554_f_at	131.93	A	0.66	65.67	A	0.62
1555_f_at	299.33	A	0.3	255.84	A	0.46
1556_at	960.95	P	0	1051.33	P	0
1557_at	228.85	A	0.23	56.31	A	0.68
1558_g_at	175.09	P	0	159.5	P	0.01
1559_at	57.85	A	0.92	30.21	A	1
156_s_at	32.67	A	0.34	77.66	M	0.04
1560_g_at	124.28	A	0.09	27.12	A	0.64
1561_at	42.82	A	0.88	52	A	0.64
1562_g_at	232.56	A	0.13	349.58	A	0.11
1563_s_at	3450.09	P	0	2956.08	P	0
1564_at	1906.23	P	0.01	2098.8	P	0.01
1565_s_at	1719.35	P	0	1257.74	P	0
1566_at	74.58	A	0.66	47.98	A	0.58
1567_at	206.19	A	0.42	323.24	A	0.19
1568_s_at	237.81	P	0.02	110.55	P	0.01
1569_r_at	323.51	A	0.12	125.9	A	0.39
157_at	14	A	0.95	4.25	A	0.95
1570_f_at	5.63	A	0.93	5.44	A	0.99
1571_f_at	180.63	P	0.04	104.18	A	0.22
1572_s_at	123.87	A	0.42	28.89	A	0.78
1573_at	1810.89	P	0.04	777.53	A	0.27
1574_s_at	203.4	P	0.03	174.51	A	0.11
1575_at	95.9	A	0.27	232.85	M	0.04
1576_g_at	20.56	A	1	28.56	A	0.99
1577_at	383.86	A	0.32	274.41	A	0.25
1578_g_at	174.16	A	0.22	124.59	A	0.07
1579_at	36.1	A	0.8	33.21	A	0.77
158_at	37.11	A	0.52	68.21	A	0.42
1580_f_at	25.68	A	0.88	6.13	A	0.98
1581_s_at	124.14	M	0.05	40.31	A	0.46
1582_at	170.07	P	0.04	236.11	A	0.09
1583_at	1628.61	P	0	1441.65	P	0
1584_at	145.39	A	0.2	12.81	A	0.52
1585_at	248.65	P	0	481.82	P	0
1586_at	210.26	A	0.3	754.8	P	0.01
1587_at	644.42	A	0.1	467	A	0.14
1588_at	367.57	M	0.04	147.84	A	0.27
1589_s_at	268.95	P	0.04	57.28	A	0.36
159_at	133.92	A	0.7	11.59	A	0.96
1590_s_at	687.07	P	0.02	442.69	M	0.05
1591_s_at	129.19	A	0.28	223.33	A	0.06
1592_at	265.96	P	0.01	223.27	P	0.02
1593_at	104.03	A	0.16	65.16	A	0.46
1594_at	628.73	P	0.02	458.31	P	0.03
1595_at	615.75	A	0.09	304.33	A	0.27
1596_g_at	643.24	P	0	1288.95	P	0
1597_at	2411.19	P	0	1251.15	P	0.01
1598_g_at	6042.39	P	0	4794.69	P	0
1599_at	135.47	A	0.27	8.85	A	0.99
160_at	342.66	P	0.02	375.46	M	0.04
1600_at	172.25	A	0.12	109.27	A	0.36
160020_at	1535.65	P	0.02	1284.32	P	0.01
160021_r_at	20.3	A	0.68	4.75	A	0.97
160022_at	1158.39	P	0	551.04	P	0
160023_at	195.65	P	0.04	231.74	A	0.06
160024_at	199.2	A	0.48	66.94	A	0.46
160025_at	143.58	P	0.02	30.95	A	0.3
160026_at	283.42	P	0.01	148.24	A	0.23
160027_s_at	663.79	P	0	815.84	P	0
160028_s_at	115.87	A	0.08	153.69	A	0.14
160029_at	475.8	P	0	601.69	M	0.04
160030_at	119.67	A	0.13	181.74	P	0.02
160031_at	339.06	A	0.18	131.46	A	0.28
160032_at	387.18	P	0.01	275.89	P	0.01
160033_s_at	147.89	A	0.52	220.84	A	0.16
160034_s_at	92.63	A	0.66	11.18	A	0.78
160035_at	15.22	A	0.95	6.49	A	0.99
160036_at	50.68	A	0.96	43.31	A	0.95
160037_at	484.24	A	0.19	470.91	A	0.14
160038_s_at	449.16	A	0.22	270.95	A	0.42
160039_at	26.49	A	0.93	38.87	A	0.9
160040_at	20.12	A	0.96	22.22	A	0.8
160041_at	903.87	A	0.11	604.84	A	0.27
160042_s_at	412.1	P	0.01	353.14	M	0.05
160043_at	118.14	P	0.01	151.75	M	0.04
160044_g_at	615.25	P	0	265.99	A	0.1
1601_s_at	21.43	A	0.93	31.62	A	0.8
1602_at	198	P	0.03	308.34	P	0
1603_g_at	233.62	P	0.04	281.22	P	0
1604_at	24.1	A	0.85	19.87	A	0.89
1605_g_at	31.32	A	0.77	20.77	A	0.85
1606_at	57.86	A	0.75	75.16	A	0.4
1607_at	45.22	A	0.95	26.24	A	0.9
1608_at	135.83	A	0.64	376.3	A	0.42
1609_g_at	103.44	A	0.58	103.91	A	0.72
161_at	6.71	A	0.97	9.71	A	0.93
1610_s_at	9.56	A	0.81	6.49	A	0.9
1611_s_at	39.87	A	0.54	62.44	A	0.38
1612_s_at	11902.35	P	0	20806.09	P	0
1613_s_at	128.75	A	0.07	201.91	A	0.08
1614_s_at	20.12	A	0.8	52.05	A	0.54
1615_at	1460.93	M	0.04	517.65	A	0.32
1616_at	101.1	P	0.02	159.31	P	0
1617_at	56.64	A	0.75	60.59	A	0.6
1618_at	10.08	A	0.78	6.69	A	0.93
1619_g_at	268.16	A	0.27	207.19	A	0.34
162_at	2622.61	P	0	2842.92	P	0
1620_at	20.32	A	0.66	21.19	A	0.87
1621_at	22.7	A	0.66	76.95	A	0.36
1622_at	703.89	P	0.04	720.41	P	0.01
1623_s_at	57.65	A	0.25	14.56	A	0.64
1624_at	369.17	M	0.05	76.24	A	0.14
1625_at	67.94	A	0.54	81.88	P	0.02
1626_at	19.23	A	0.87	123.78	A	0.6
1627_at	579.62	A	0.09	668.5	P	0.02
1628_at	41.28	A	0.64	148.76	A	0.34
1629_s_at	129.25	A	0.28	182.48	P	0.02
163_at	480	A	0.16	388.6	A	0.27
1630_s_at	759.9	P	0.01	1322.68	P	0.02
1631_at	57.37	A	0.97	23.23	A	0.98
1632_at	75.46	A	0.54	239.46	A	0.42
1633_g_at	973.75	P	0	1410.53	P	0
1634_s_at	12.73	A	0.98	14.53	A	0.97
1635_at	585.66	P	0	895.61	P	0
1636_g_at	1395.73	P	0	2184.37	P	0
1637_at	696.9	P	0	585.04	P	0.01
1638_at	102.04	A	0.54	90.84	A	0.42
1639_s_at	200.27	M	0.05	17.72	A	0.72
164_at	302.56	A	0.48	130.48	A	0.36
1640_at	542.37	P	0	452.06	P	0
1641_s_at	1814.12	P	0	1968.16	P	0
1642_at	1200.55	A	0.07	1002.25	A	0.06
1643_g_at	661.92	P	0	786.24	P	0
1644_at	1010.32	P	0	1148.65	P	0.01
1645_at	197.68	A	0.23	140.1	A	0.2
1646_at	36.9	A	0.66	21.41	A	0.85
1647_at	472.79	P	0	338.64	P	0
1648_at	330.44	P	0	115.11	P	0.02
1649_at	220.43	A	0.34	404.79	A	0.27
165_g_at	12.79	A	0.99	8.72	A	1
1650_g_at	145.74	A	0.68	165.27	A	0.58
1651_at	316.86	A	0.36	71.89	A	0.52
1652_at	203	A	0.23	303.83	A	0.16
1653_at	10524.32	P	0	8859.28	P	0
1654_at	39.44	A	0.42	35.93	A	0.68
1655_s_at	7.9	A	1	8.58	A	0.98
1656_s_at	160.69	A	0.44	65.07	A	0.56
1657_at	105.79	A	0.62	14.49	A	0.88
1658_g_at	106.96	A	0.18	69.7	A	0.38
1659_s_at	868.63	P	0	697.4	P	0
166_at	138.53	A	0.44	104.49	A	0.6
1660_at	359.42	P	0.01	253.22	P	0
1661_i_at	237.04	A	0.18	501.87	A	0.18
1662_r_at	1470.08	P	0.01	1950.45	M	0.06
1663_at	961.74	A	0.46	399.74	A	0.3
1664_at	200.6	A	0.4	1214.49	A	0.15
1665_s_at	1437.85	A	0.27	895.24	A	0.34
1666_at	42.2	A	0.64	114.25	A	0.16
1667_s_at	2337.25	P	0	1774.13	P	0
1668_s_at	179.52	A	0.32	65.6	A	0.7
1669_at	127.64	A	0.25	117.04	A	0.22
167_at	703.24	P	0	445.32	P	0
1670_at	60.84	A	0.85	24.8	A	0.91
1671_s_at	375.43	A	0.14	525.01	A	0.14
1672_f_at	11.29	A	0.99	8.33	A	0.99
1673_at	537.91	P	0.01	672.68	P	0
1674_at	504.45	P	0	325.91	P	0
1675_at	496.94	P	0.01	717.85	P	0.01
1676_s_at	8599.16	P	0	8485	P	0
1677_at	287.33	A	0.16	159.08	A	0.4
1678_g_at	162.61	P	0.01	102.17	A	0.25
1679_at	9.15	A	0.93	21.86	A	0.87
168_at	28.49	A	0.36	69.4	A	0.12
1680_at	912.1	A	0.18	912.8	A	0.12
1681_at	406.34	A	0.07	506.71	A	0.08
1682_s_at	55.61	A	0.8	53.46	A	0.66
1683_at	303.37	A	0.44	86.32	A	0.6
1684_s_at	262.61	A	0.75	485.25	A	0.36
1685_at	29.9	A	0.54	121.05	A	0.11
1686_g_at	302.35	A	0.07	205.74	A	0.3
1687_s_at	81.56	A	0.85	69.05	A	0.88
1688_s_at	292.71	A	0.28	256.03	A	0.28
1689_at	142.19	A	0.4	324.74	A	0.16
169_at	80.34	A	0.7	38.08	A	0.85
1690_at	24.02	A	0.89	17.44	A	0.81
1691_at	40.83	A	0.89	27.23	A	0.93
1692_s_at	181.56	A	0.38	87.3	A	0.54
1693_s_at	18404.11	P	0	15793.5	P	0
1694_s_at	87.47	A	0.46	28	A	0.81
1695_at	2132.22	P	0	1798.29	P	0
1696_at	196.57	A	0.08	191.72	P	0.01
1697_s_at	4.42	A	1	5.37	A	1
1698_g_at	132.06	M	0.05	164.52	A	0.34
1699_at	110.27	A	0.42	153.16	A	0.36
170_at	234.97	A	0.27	397.45	A	0.12
1700_at	503.47	A	0.34	636.87	A	0.36
1701_at	65.71	A	0.5	24.58	A	0.73
1702_at	40.49	A	0.75	8.39	A	0.98
1703_g_at	702.4	P	0	626.15	P	0.01
1704_at	648.78	A	0.25	145.52	A	0.44
1705_s_at	39.7	A	0.87	15.77	A	0.96
1706_at	1506.3	P	0	2482.53	P	0
1707_g_at	2260.14	P	0.01	1948.13	P	0
1708_at	229.67	M	0.05	137.48	A	0.19
1709_g_at	270.2	P	0.01	225.72	A	0.1
171_at	536.82	P	0	362.98	P	0
1710_s_at	189.83	A	0.34	94.33	A	0.64
1711_at	457.73	P	0.01	359.84	P	0.01
1712_s_at	32.08	A	0.75	13.89	A	0.88
1713_s_at	57.4	A	0.68	32.9	A	0.84
1714_at	225.93	P	0.04	91.31	A	0.16
1715_at	1652.41	P	0	1681.23	P	0
1716_at	56.75	A	0.85	32.98	A	0.89
1717_s_at	271.89	P	0.01	391.33	P	0
1718_at	9488.89	P	0	8683.02	P	0
1719_at	92.94	A	0.09	100.78	P	0.01
172_at	1130.61	P	0.02	1335.04	P	0.01
1720_at	21.3	A	0.96	19.89	A	0.93
1721_g_at	38.96	A	0.58	15.67	A	0.64
1722_at	109.82	A	0.42	109.81	A	0.46
1723_g_at	224.5	A	0.38	127.45	A	0.62
1724_at	456.8	A	0.38	588.92	A	0.18
1725_s_at	395.81	P	0	400.81	P	0
1726_at	84.79	A	0.66	408.03	A	0.3
1727_at	13.5	A	0.86	9.47	A	0.86
1728_at	593.39	P	0	846.99	P	0
1729_at	861.41	P	0.02	689.33	P	0.04
173_at	119.04	A	0.2	26.69	A	0.66
1730_s_at	143.45	A	0.77	219.77	A	0.56
1731_at	465.91	P	0	746.87	P	0
1732_at	11.94	A	0.85	8.11	A	0.92
1733_at	447.55	P	0.02	126.57	A	0.4
1734_at	41.03	A	0.87	57.96	A	0.8
1735_g_at	345.2	A	0.66	405.36	A	0.58
1736_at	63.61	A	0.5	114.69	A	0.38
1737_s_at	4866.03	P	0	9163.02	P	0
1738_at	39.09	A	0.91	54.52	A	0.82
1739_at	8.05	A	0.91	53.27	A	0.38
174_s_at	643.76	P	0.01	490.4	P	0
1740_g_at	25.62	A	0.58	38.43	A	0.38
1741_s_at	745.08	P	0	177.44	A	0.1
1742_at	745.84	P	0.01	643.86	P	0.04
1743_s_at	60.32	A	0.44	21.6	A	0.64
1744_at	34.76	A	0.95	17.03	A	0.98
1745_at	81.67	A	0.52	14.35	A	0.92
1746_s_at	230.72	A	0.56	113.36	A	0.73
1747_at	895.71	A	0.09	360.95	A	0.27
1748_s_at	39.25	A	0.98	24.7	A	0.97
1749_at	389.55	A	0.12	398.56	A	0.12
175_s_at	1155.16	P	0	650.57	P	0
1750_at	564.56	A	0.34	134.54	A	0.56
1751_g_at	938.32	A	0.16	532.89	A	0.15
1752_at	2575.3	P	0	410.58	A	0.19
1753_s_at	626.53	P	0.03	351.33	P	0.03
1754_at	368.62	P	0	538.91	P	0.01
1755_i_at	10.29	A	0.98	16.38	A	0.95
1756_f_at	148.97	A	0.32	90.42	A	0.36
1757_i_at	48.01	A	0.44	4.62	A	0.99
1758_r_at	3.37	A	0.97	39.79	A	0.08
1759_f_at	134.44	A	0.46	20.2	A	0.82
176_at	246.96	P	0	446.74	P	0
1760_s_at	361.76	A	0.19	502.8	M	0.04
1761_at	24.11	A	0.87	131.29	A	0.2
1762_at	39.08	A	0.78	102.84	A	0.6
1763_at	268.24	M	0.05	32.57	A	0.64
1764_s_at	703.96	P	0	287.05	M	0.04
1765_at	144.26	A	0.23	32.72	A	0.42
1766_g_at	205.16	A	0.5	284.26	A	0.42
1767_s_at	404.84	P	0	713.79	P	0
1768_s_at	1112.38	P	0	1342.08	P	0
1769_at	227.1	A	0.5	257.41	A	0.4
177_at	197.57	A	0.18	27.37	A	0.46
1770_at	13.95	A	0.89	31.22	A	0.75
1771_s_at	1446.57	P	0	1654.86	P	0
1772_s_at	425.41	P	0.01	293.14	P	0.01
1773_at	249.15	A	0.27	150.42	A	0.48
1774_at	27.84	A	0.96	12.55	A	0.99
1775_at	362.13	A	0.1	70.3	A	0.27
1776_at	1389.25	P	0.01	774.85	P	0.02
1777_at	156.05	A	0.87	118.36	A	0.9
1778_g_at	177.59	A	0.23	222.64	A	0.34
1779_s_at	893.07	A	0.1	1248.85	P	0.02
178_f_at	301.33	P	0.04	187.52	A	0.07
1780_at	1636.54	P	0	1851.53	P	0
1781_at	195.03	A	0.54	99.89	A	0.56
1782_s_at	464.7	P	0	600.36	P	0
1783_at	77.19	A	0.64	11.93	A	0.82
1784_s_at	153.47	P	0.02	81.68	A	0.15
1785_at	409.28	P	0.04	615.17	P	0.01
1786_at	432.98	P	0	345.01	A	0.07
1787_at	468.64	P	0	631.45	P	0
1788_s_at	271.49	P	0.04	260.93	P	0.02
1789_at	447.44	P	0	605.95	P	0
179_at	3699.06	P	0.02	2380.4	P	0.03
1790_s_at	1693.51	A	0.06	1389.36	P	0.01
1791_s_at	145.51	M	0.05	65.35	A	0.56
1792_g_at	1148.83	A	0.07	1709.64	P	0.02
1793_at	567.75	P	0.02	349.69	M	0.05
1794_at	1528.17	P	0	1536.81	P	0
1795_g_at	1685.88	P	0	2009.91	P	0
1796_s_at	3039.72	P	0	3429.65	P	0.02
1797_at	377.4	A	0.16	303.76	A	0.22
1798_at	222.98	P	0	288.87	P	0.01
1799_at	372.1	A	0.07	366.76	A	0.34
180_at	185.6	A	0.64	95.67	A	0.64
1800_g_at	173.44	A	0.25	30.27	A	0.52
1801_at	201.43	P	0.02	249.04	P	0
1802_s_at	497.46	A	0.14	237.8	A	0.4
1803_at	373.92	A	0.19	110.66	A	0.3
1804_at	810.58	A	0.1	1314.42	P	0.02
1805_g_at	26.8	A	0.68	9.47	A	0.93
1806_at	3.08	A	0.99	2.15	A	0.97
1807_g_at	29.92	A	0.88	25.98	A	0.88
1808_s_at	64.96	A	0.56	15.45	A	0.82
1809_at	162.53	P	0.02	137.49	P	0.03
181_g_at	1419.5	P	0.03	1896.17	P	0.02
1810_s_at	683.73	P	0.01	772.06	P	0.01
1811_at	390.51	A	0.34	73.67	A	0.64
1812_s_at	32.26	A	0.56	78.04	A	0.4
1813_at	411.3	A	0.06	355.8	A	0.12
1814_at	2930	P	0	2469.97	P	0
1815_g_at	589.23	P	0	816.21	P	0
1816_at	50.14	A	0.7	55.58	A	0.75
1817_at	3616.49	P	0	2895.42	P	0
1818_at	595.66	P	0	958.12	P	0
1819_at	49.03	A	0.91	31.4	A	0.95
182_at	1038.65	P	0.01	1260.78	P	0
1820_g_at	84.47	A	0.6	18.49	A	0.82
1821_at	37.67	A	0.98	17.61	A	1
1822_at	31.23	A	0.86	188.2	A	0.42
1823_g_at	43.49	A	0.81	42.77	A	0.82
1824_s_at	644.04	A	0.36	346.29	A	0.23
1825_at	1336.38	P	0	1565.83	P	0
1826_at	2217.79	P	0	1268.78	P	0.01
1827_s_at	1318.46	P	0.01	2859.36	P	0
1828_s_at	159.69	A	0.32	108.94	A	0.14
183_at	94.24	A	0.23	82.73	A	0.16
1830_s_at	1449.16	P	0	896.48	P	0.01
1831_at	30.4	A	0.68	33.12	A	0.52
1832_at	129.86	A	0.27	168.63	A	0.09
1833_at	60.57	A	0.82	332.04	A	0.36
1834_at	39.79	A	0.87	46.19	A	0.88
1836_at	5412.72	P	0	5374.81	P	0
1837_at	295.58	P	0	79.7	A	0.3
1838_g_at	107.05	A	0.38	12.27	A	0.87
1839_at	1318.93	P	0	1032.06	P	0
184_at	350.94	A	0.23	198.63	A	0.42
1840_g_at	3343.58	P	0	1805.18	P	0
1841_s_at	142.44	A	0.07	84.34	A	0.15
1842_at	206.68	A	0.64	356.34	A	0.4
1843_at	583.8	P	0	362.4	P	0.01
1844_s_at	771.53	P	0	401.62	P	0.01
1845_at	58.21	A	0.88	57.91	A	0.92
1846_at	408.66	P	0.04	477.6	P	0.01
1847_s_at	156.29	A	0.52	40.38	A	0.72
1848_at	446.66	P	0	538.93	P	0
1849_s_at	118.07	A	0.22	98.62	A	0.36
185_at	194.51	A	0.19	200.19	A	0.12
1850_at	483.1	M	0.05	726.84	A	0.09
1851_s_at	18.5	A	0.9	45.94	A	0.62
1852_at	440.9	P	0.02	526.94	A	0.07
1853_at	19.65	A	0.98	14.02	A	0.99
1854_at	187.87	A	0.08	110.49	A	0.12
1855_at	321.14	A	0.32	241.27	A	0.22
1856_at	351.6	P	0	415.61	P	0
1857_at	387.78	P	0	290.76	P	0
1858_at	171.77	A	0.36	43.3	A	0.58
1859_s_at	98.62	A	0.27	77.41	A	0.32
186_at	22.52	A	0.7	81.85	A	0.54
1860_at	304.98	A	0.13	396.83	A	0.13
1861_at	390.96	A	0.15	309.03	A	0.07
1862_at	29.56	A	0.85	35.75	A	0.82
1863_s_at	214.93	P	0.04	157.17	A	0.12
1865_at	4.43	A	0.99	5.8	A	0.9
1866_g_at	16.38	A	0.97	23.44	A	0.82
1867_at	908.01	P	0	698.86	P	0
1868_g_at	1156.12	P	0	428.17	P	0.01
1869_at	92.52	A	0.92	81.49	A	0.89
187_at	437.65	A	0.1	68.58	A	0.54
1870_at	129.25	A	0.2	15.09	A	0.97
1871_g_at	45.11	A	0.62	19.96	A	0.75
1872_at	17.12	A	0.87	13.78	A	0.68
1873_at	820.24	P	0	1142.81	P	0
1874_at	831.83	P	0	626.81	P	0
1875_f_at	387.55	P	0.01	320.33	P	0.04
1876_at	316.28	P	0.01	152.25	M	0.05
1877_g_at	822.01	P	0	581.25	P	0
1878_g_at	1750.08	P	0.02	1394.29	P	0.03
1879_at	1315.73	P	0.01	630.82	P	0.01
188_at	725.26	P	0.01	646.47	M	0.04
1880_at	89.02	A	0.38	18.29	A	0.36
1881_at	239.53	A	0.2	261.94	P	0.02
1882_g_at	438.99	P	0	616.89	P	0
1883_s_at	24.97	A	0.86	12.81	A	0.72
1884_s_at	507.7	P	0	259.12	P	0
1885_at	460.07	P	0	420.92	P	0
1886_at	114.62	A	0.73	62.76	A	0.77
1887_g_at	205.97	A	0.78	89.06	A	0.78
1888_s_at	21.89	A	0.97	39.43	A	0.81
189_s_at	1676.53	P	0.01	3268.53	P	0.01
1890_at	2362.05	P	0	1058.39	P	0
1891_at	152.4	P	0.03	182.99	P	0.02
1892_s_at	59.86	A	0.73	74.97	A	0.72
1893_s_at	58.22	A	0.64	20.78	A	0.94
1894_f_at	1266.79	P	0	928.83	P	0
1895_at	339.51	P	0.01	331.93	P	0.01
1896_s_at	340.52	A	0.1	294.56	A	0.1
1897_at	352.62	P	0.02	719.08	P	0
1898_at	264.85	P	0.04	234.11	A	0.15
1899_s_at	49.82	A	0.77	26.94	A	0.96
190_at	267.7	M	0.04	1750.59	P	0
1900_at	87.39	A	0.07	103.66	A	0.27
1901_s_at	495.46	P	0.02	300.53	A	0.08
1902_at	532.9	P	0.01	337.5	P	0.02
1903_at	885.47	P	0	361.71	P	0
1904_at	323.88	P	0.03	261.72	A	0.07
1905_s_at	177.21	A	0.58	22.73	A	0.97
1906_at	479.18	P	0.02	245.32	A	0.07
1907_at	134.6	A	0.54	123.28	A	0.48
1908_at	471.49	A	0.07	297.84	A	0.16
1909_at	156.84	A	0.15	361.45	M	0.05
191_at	332.79	A	0.12	338.38	A	0.16
1910_s_at	432.61	A	0.23	580.38	A	0.28
1911_s_at	306.59	P	0.01	507.68	P	0
1912_s_at	571.06	A	0.12	150.15	A	0.44
1913_at	151.5	M	0.05	190.62	P	0.01
1914_at	173.36	A	0.27	111.1	A	0.14
1915_s_at	3683.73	P	0	6024.47	P	0
1916_s_at	2214.4	P	0	5216.51	P	0
1917_at	802.35	P	0.01	584.4	P	0.01
1918_at	136.21	A	0.54	226.64	A	0.1
1919_at	257.83	A	0.52	31.14	A	0.88
192_at	408.38	P	0	428.94	P	0
1920_s_at	330.89	P	0	145.5	A	0.13
1921_at	122.78	A	0.16	129.16	A	0.07
1922_g_at	140.35	M	0.05	76.42	A	0.18
1923_at	84.08	P	0.04	28.89	A	0.48
1924_at	318.96	P	0.01	543.93	P	0.01
1925_at	540.44	A	0.27	864.8	A	0.09
1926_at	752.11	P	0.03	522.61	A	0.07
1927_s_at	221.62	A	0.23	74.72	A	0.58
1928_s_at	177.22	P	0.01	111.28	M	0.05
1929_at	855.85	P	0	1803.43	P	0
193_at	201.41	P	0.01	202.04	P	0
1930_at	279.55	A	0.14	269.23	P	0.04
1931_at	105.44	A	0.38	10.65	A	0.8
1932_at	183.32	A	0.58	207.75	A	0.58
1933_g_at	375.58	A	0.07	565.2	P	0.01
1934_s_at	156.37	A	0.09	78.53	A	0.2
1935_at	24.32	A	0.81	48.33	A	0.46
1936_s_at	993.65	A	0.09	813.9	A	0.1
1937_at	825.01	P	0	700.63	P	0
1938_at	491.84	A	0.36	476.99	A	0.28
1939_at	325.69	A	0.3	362.06	A	0.4
194_at	49.97	A	0.36	3.83	A	0.98
1940_at	280.47	P	0	444.9	P	0
1941_at	33.86	A	0.88	20.73	A	0.99
1942_s_at	752.25	P	0.01	642.27	P	0
1943_at	141.84	A	0.27	218.05	M	0.04
1944_f_at	1806.38	A	0.25	1202.08	A	0.43
1945_at	102.77	A	0.4	91.36	A	0.34
1946_at	34.29	A	0.81	25.25	A	0.75
1947_g_at	260.8	A	0.46	209.83	A	0.4
1948_f_at	211.31	P	0	88.46	A	0.28
1949_at	159.42	A	0.13	57.64	A	0.68
195_s_at	981.19	P	0	750.18	P	0
1950_s_at	414.86	A	0.08	349.36	A	0.07
1951_at	142.8	A	0.58	110.7	A	0.56
1952_s_at	12.39	A	0.44	70.85	A	0.09
1953_at	2718.38	P	0	3953.69	P	0
1954_at	421.88	P	0	309.88	P	0
1955_s_at	1112.14	P	0	175.45	A	0.22
1956_s_at	62.73	A	0.66	94.75	A	0.5
1957_s_at	70.96	A	0.52	15.62	A	0.75
1958_at	254.12	P	0	399.95	P	0.01
1959_at	173.09	A	0.06	175.09	A	0.1
196_s_at	52.01	A	0.38	50.19	A	0.46
1960_at	38.89	A	0.68	15.03	A	0.92
1961_f_at	39.76	A	0.96	16.36	A	0.98
1962_at	66.68	A	0.66	48.84	A	0.58
1963_at	116	A	0.18	176.95	A	0.28
1964_g_at	289.79	A	0.06	393.08	P	0.01
1965_s_at	42.52	A	0.77	234.18	A	0.32
1966_i_at	123.4	A	0.93	86.5	A	0.87
1967_f_at	362.75	A	0.34	575.8	A	0.14
1968_g_at	26.73	A	0.56	81.7	A	0.38
1969_s_at	132.97	A	0.4	67.15	A	0.62
197_at	1149.36	P	0.02	1081.23	P	0.01
1970_s_at	181.96	A	0.11	48.61	A	0.42
1971_g_at	41.72	A	0.6	46.33	A	0.48
1972_s_at	232.02	A	0.38	100.08	A	0.5
1973_s_at	436.6	P	0.01	657.91	P	0
1974_s_at	129.56	A	0.46	204.21	P	0.01
1975_s_at	690.24	A	0.1	939.71	P	0.04
1976_s_at	486.92	P	0.02	302.74	P	0.04
1977_s_at	20.6	A	0.87	109.88	A	0.5
1978_at	205.26	A	0.06	128.9	A	0.27
1979_s_at	251.27	P	0	229.39	P	0.01
198_g_at	1329.2	P	0	1362.76	P	0
1980_s_at	4195.23	P	0	4490.31	P	0
1981_s_at	252.95	M	0.05	110.49	A	0.16
1983_at	459.61	A	0.13	589.75	A	0.16
1984_s_at	2947.43	P	0	1921.54	P	0
1985_s_at	1280.01	P	0	639	P	0
1986_at	198.37	P	0.04	87.82	M	0.04
1987_at	39.53	A	0.68	65.33	A	0.6
1988_at	282.7	A	0.58	192.8	A	0.52
1989_at	10.2	A	0.68	8.5	A	0.72
199_s_at	456.59	P	0.03	821.58	P	0.03
1990_g_at	94.98	A	0.46	134.71	A	0.32
1991_s_at	825.73	P	0.02	426.33	A	0.06
1992_at	99.26	A	0.11	141.21	A	0.06
1993_s_at	85.16	A	0.82	46.27	A	0.87
1994_at	141.8	A	0.16	110.92	A	0.11
1995_at	22.26	A	0.77	21.42	A	0.88
1996_s_at	34.57	A	0.66	58.94	A	0.73
1997_s_at	1457.07	P	0	567.29	A	0.11
1998_i_at	1782.25	P	0.04	688.78	M	0.06
1999_s_at	199.41	P	0.01	110.12	P	0.01
200_at	6.33	A	0.98	8	A	0.97
